"Copyright © 2017 BRTDATA.ORG - Downloaded on 2017/11/05";"";"";"";"";""
"";"";"";"";"";""
"Worldwide - Key Indicators per Region";"";"";"";"";""
"Regions";"Passengers per Day";"Number of Cities";"Length (km)";"";""
"Average age, articulated buses";"System fleet";"";"";"";""
"Propulsion, articulated buses";"System fleet";"";"";"";""
"Fuel type, articulated buses";"System fleet";"";"";"";""
"Fuel economy, articulated buses";"System fleet";"";"";"";""
"Fleet, bi-articulated buses";"System fleet";"";"";"";""
"Average age, bi-articulated buses";"System fleet";"";"";"";""
"Propulsion, bi-articulated buses";"System fleet";"";"";"";""
"Fuel type, bi-articulated buses";"System fleet";"";"";"";""
"Fuel economy, bi-articulated buses";"System fleet";"";"";"";""
"Fleet, double-decker buses";"System fleet";"";"";"";""
"Average age, double-decker buses";"System fleet";"";"";"";""
"Propulsion, double-decker buses";"System fleet";"";"";"";""
"Fuel type, double-decker buses";"System fleet";"";"";"";""
"Fuel economy, double-decker buses";"System fleet";"";"";"";""
"Typical fuel type";"System fleet";"";"";"";""
"City's diesel sulfur content (ppm)";"System fleet";"";"";"";""
"Total cost per kilometer (US$ million per km)";"System cost";"1,700";"2010";"Viva 2010 ( http://www.uncrd.or.jp/env/5th-regional-est-forum/doc/08_Breakout%20Session2-B/BS2-B-6_BRT%20Trends.pdf ); Trans-Africa Consortium 2010 ; http://www.itdp.org/documents/st_magazine/ITDP-ST_Magazine-%20V%2020.pdf";""
"Planning cost (US$ million)";"System cost";"";"";"";""
"Capital cost per kilometer (US$ million per km)";"System cost";"";"";"";""
"Infrastructure cost per kilometer (US$ million per km)";"System cost";"1,700";"2010";"Viva 2010 ( http://www.uncrd.or.jp/env/5th-regional-est-forum/doc/08_Breakout%20Session2-B/BS2-B-6_BRT%20Trends.pdf ); Trans-Africa Consortium 2010 ; http://www.itdp.org/documents/st_magazine/ITDP-ST_Magazine-%20V%2020.pdf";""
"Equipment cost (US$ million)";"System cost";"";"";"";""
"Annual operational cost (US$ million)";"System cost";"";"";"";""
"User rating";"System image";"";"";"";""
"Brand and logo";"System image";"";"";"";""
"Unique bus livery";"System image";"";"";"";""
"Citywide annual road fatalities";"System road safety";"";"";"";""
"Citywide annual injuries";"System road safety";"";"";"";""
"";"";"";"";"";""
"Lagos - Corridor Indicators - Lagos BRT";"";"";"";"";""
"Indicator";"Category";"Value";"Date";"Source";""
"Corridor Name";"Corridor info";"Lagos BRT";"";"Viva 2010 ( http://www.uncrd.or.jp/env/5th-regional-est-forum/doc/08_Breakout%20Session2-B/BS2-B-6_BRT%20Trends.pdf ); Trans-Africa Consortium 2010 ; http://www.itdp.org/documents/st_magazine/ITDP-ST_Magazine-%20V%2020.pdf";""
"Year corridor commenced";"Corridor info";"2008";"";"Viva 2010 ( http://www.uncrd.or.jp/env/5th-regional-est-forum/doc/08_Breakout%20Session2-B/BS2-B-6_BRT%20Trends.pdf ); Trans-Africa Consortium 2010 ; http://www.itdp.org/documents/st_magazine/ITDP-ST_Magazine-%20V%2020.pdf";""
"Corridor service";"Corridor info";"";"";"";""
"Peak load, corridor (passengers per hour per direction)";"Corridor info";"";"";"";""
"Daily demand, corridor (passengers per day)";"Corridor info";"200,000";"2011";"Viva 2010 ( http://www.uncrd.or.jp/env/5th-regional-est-forum/doc/08_Breakout%20Session2-B/BS2-B-6_BRT%20Trends.pdf ); Trans-Africa Consortium 2010 ; http://www.itdp.org/documents/st_magazine/ITDP-ST_Magazine-%20V%2020.pdf";""
"Trunk lines, corridor";"Corridor info";"";"";"";""
