"Brand and logo";"System image";"Yes";"";"http://movilidadurbanapanama.wordpress.com/metrobus-de-panama/"
"Unique bus livery";"System image";"No";"";""
"Citywide annual road fatalities";"System road safety";"";"";""
"Citywide annual injuries";"System road safety";"";"";""
"";"";"";"";""
"Corridor Indicators - COSAC I";"";"";"";""
"Indicator";"Category";"Value";"Date";"Source"
"Corridor Name";"Corridor info";"COSAC I";"";"www.metropolitano.com.pe"
"Year corridor commenced";"Corridor info";"1972";"In 2010, the corridor received improvements and became to operate as a BRT";"Busway | BRT"
"Corridor service";"Corridor info";"Conventional bus services";"";"http://www.munlima.gob.pe/especiales/metropolitano/Contenidos/Metropolitano.aspx"
"Peak load, corridor (passengers per hour per direction)";"Corridor info";"22,800";"";"Instituto Metropolitano PROTRANSPORTE de Lima "
"Daily demand, corridor (passengers per day)";"Corridor info";"350,000";"";"Instituto Metropolitano PROTRANSPORTE de Lima "
"Trunk lines, corridor";"Corridor info";"8";"2013";"Protransporte Planing and Information System Office"
"Corridor length (km)";"Running ways";"26,00";"";"Protransporte Planing and Information System Office"
"Length of segregated lanes, corridor (km)";"Running ways";"16,80";"";"Instituto Metropolitano PROTRANSPORTE de Lima "
"Length of segregated counterflow lanes, corridor (km)";"Running ways";"0,00";"";""
"Length of exclusive lanes, corridor (km)";"Running ways";"9,20";"";"Instituto Metropolitano PROTRANSPORTE de Lima "
"Mixed traffic with-flow length, corridor (km)";"Running ways";"0,00";"";""
"Position of with-flow lanes, corridor";"Running ways";"Median";"";"Protransporte Planing and Information System Office"
"Position of counterflow lanes, corridor";"Running ways";"N/A";"";""
"Position of bus doors, corridor";"Running ways";"Left";"";"Protransporte Planing and Information System Office"
"Lane material on running ways, corridor";"Running ways";"Concrete";"2007";"Feasibility Study of Urban Transport for the Metropolitan Area of ​​Lima and Callao."
"Lane material at stations, corridor";"Running ways";"Concrete";"2009";"Architectural design specification of center and north stations. http://www.protransporte.gob.pe"
"Grade-separated intersections, corridor";"Traffic engineering";"All";"";"Protransporte Planing and Information System Office"
"Fixed signal priority";"Traffic engineering";"All";"";"Protransporte Planing and Information System Office"
"Dynamic signal priority";"Traffic engineering";"None";"";"Instituto MetropolitaNo PROTRANSPORTE de Lima "
"Stations, corridor";"Stations";"36";"2013";"http://www.munlima.gob.pe/especiales/metropolitaNo/Contenidos/Recorrido.aspx and  Protransporte Planing and Information System Office"
"Station spacing, corridor (m)";"Stations";"700,0";"";"Architectural design specification of center and North stations. Lima, January 2009.  Document available on http://www.protransporte.gob.pe and Protransporte Planing and Information System Office"
"Enhanced stations";"Stations";"Yes";"";"Protransporte Planing and Information System Office"
"Pre-board fare collection, corridor";"Stations";"Partial";"";"Protransporte Planing and Information System Office"
"Overtaking lanes, corridor";"Stations";"All";"";"Protransporte Planing and Information System Office"
"Station boarding level, corridor";"Stations";"High level platform";"";"Protransporte Planing and Information System Office"
"Type of bus guidance";"ITS";"None";"";""
"Peak frequency, corridor (buses per hour per direction)";"Travel time";"117";"";"Protransporte Planing and Information System Office"
"Operating speed, corridor";"Travel time";"25,5";"2013";"Protransporte Planing and Information System Office"
"Express services";"Travel time";"Yes";"2013";""
"Speed limit (km/h)";"Travel time";"";"";""
"Real time information, corridor";"Comfort";"None";"";"Protransporte Planing and Information System Office"
"Physically integrated feeders";"Comfort";"Yes";"";"Protransporte Planing and Information System Office"
"Total cost per kilometer, corridor (US$ million per km)";"Cost";"";"";""
"Planning cost, corridor (US$ million)";"Cost";"";"";""
"Infrastructure cost per kilometer, corridor (US$ million per km)";"Cost";"";"";""
"User rating, corridor";"Quality of service";"Good";"";"Protransporte Planing and Information System Office"
"Corridor annual fatalities";"Road Safety";"";"";""
